,User,Played Game,Game Recommended,Year,Cluster,Score,Weighted Score,Total Ratings
0,58297398,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,72613527,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,138561124,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121865430,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,30519870,Left 4 Dead,Serious Sam HD: The First Encounter,2009,3,0.94,0.9,4219
0,129925351,Path of Exile,Tsumi,2019,4,1.0,0.72,9
0,83090686,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,83090686,Terraria,Blockland,2013,3,0.72,0.72,5150
0,123917008,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,138587718,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,32126281,Crusader Kings II,NOBUNAGA'S AMBITION: Sphere of Influence,2015,1,0.83,0.75,457
0,96556535,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,158324196,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,117106617,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,182229935,War Thunder,Call of War,2017,4,0.5,0.59,1375
0,136219907,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,5387470,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,22283916,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,7955670,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,7955670,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,133268317,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,207077290,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,128287411,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,117488479,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,120421832,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,109660238,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,39798081,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,201265166,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,50811344,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,103890656,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,163308692,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,158136134,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,181158622,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,109763455,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,18149166,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,215589538,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,164643993,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,130882834,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,111422562,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,76032287,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,144900175,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,152945749,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,50818751,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
